group,label,n,share,avg_place,shrunk_avg,score,d_avg,d_avg_pess,impact,d_top4,win,top2,top4,sd,z,p,significant
populaire,Adaptive Helm,51,0.0752212389380531,2.216,2.312,-0.163,-0.259,0.0,0.0123,0.0362,0.3529,0.6863,0.902,1.288,-1.35,0.17569,False
populaire,Giant Slayer,52,0.07669616519174041,2.231,2.32,-0.155,-0.244,0.0,0.0119,0.0381,0.3269,0.6923,0.9038,1.265,-1.31,0.1912,False
populaire,Archangels Staff,82,0.12094395280235988,2.268,2.324,-0.151,-0.207,0.0,0.0183,0.061,0.4024,0.6707,0.9268,1.49,-1.17,0.24204,False
populaire,Nashors Tooth,133,0.19616519174041297,2.331,2.357,-0.118,-0.144,0.0,0.0231,-0.0086,0.4361,0.6466,0.8571,1.579,-0.95,0.34046,False
populaire,Strikers Flail,160,0.2359882005899705,2.475,2.475,0.0,0.0,0.0,-0.0,0.0155,0.3563,0.6562,0.8812,1.739,0.0,0.99961,False
populaire,Rabadons Deathcap,123,0.18141592920353983,2.48,2.479,0.004,0.005,0.0,-0.0007,0.0041,0.3496,0.6179,0.8699,1.625,0.03,0.97631,False
populaire,Jeweled Gauntlet,501,0.7389380530973452,2.515,2.513,0.038,0.04,0.0,-0.0279,-0.0075,0.3553,0.6228,0.8583,1.707,0.4,0.68775,False
populaire,Blue Buff,154,0.22713864306784662,2.526,2.518,0.043,0.051,0.0,-0.0097,0.0043,0.3377,0.6429,0.8701,1.763,0.33,0.74324,False
,Hextech Gunblade,41,0.06047197640117994,2.659,2.581,0.106,0.184,0.0,-0.0064,-0.0121,0.2683,0.561,0.8537,1.54,0.74,0.46069,False
populaire,Spear Of Shojin,333,0.4911504424778761,2.613,2.601,0.126,0.138,0.0,-0.062,-0.0309,0.3664,0.5856,0.8348,1.763,1.19,0.2351,False
populaire,Void Staff,64,0.0943952802359882,2.672,2.609,0.134,0.197,0.0,-0.0127,-0.022,0.2656,0.5938,0.8438,1.742,0.87,0.38549,False
